sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-0.9075471281930962,1.027405600636604,-1.3540617942937634,-1.3292019015618841,0
-1.151485525161001,-0.13109329622366164,-1.3540617942937634,-1.3292019015618841,0
-1.3954239221289069,0.332306262520445,-1.4110591337378653,-1.3292019015618841,0
-1.5173931206128604,0.10060648314839167,-1.2970644548496615,-1.3292019015618841,0
-1.0295163266770486,1.2591053800086571,-1.3540617942937634,-1.3292019015618841,0
-0.541639532741237,1.954204718124816,-1.1830697759614575,-1.0652715435770292,0
-1.5173931206128604,0.7957058212645506,-1.3540617942937634,-1.1972367225694567,0
-1.0295163266770486,0.7957058212645506,-1.2970644548496615,-1.3292019015618841,0
-1.7613315175807651,-0.36279307559571494,-1.3540617942937634,-1.3292019015618841,0
-1.151485525161001,0.10060648314839167,-1.2970644548496615,-1.4611670805543113,0
-0.541639532741237,1.4908051593807106,-1.2970644548496615,-1.3292019015618841,0
-1.2734547236449545,0.7957058212645506,-1.2400671154055594,-1.3292019015618841,0
-1.2734547236449545,-0.13109329622366164,-1.3540617942937634,-1.4611670805543113,0
-1.8833007160647186,-0.13109329622366164,-1.525053812626069,-1.4611670805543113,0
-0.05376273880542636,2.1859044974968693,-1.4680564731819672,-1.3292019015618841,0
-0.17573193728937875,3.1127036149850826,-1.2970644548496615,-1.0652715435770292,0
-0.541639532741237,1.954204718124816,-1.4110591337378653,-1.0652715435770292,0
-0.9075471281930962,1.027405600636604,-1.3540617942937634,-1.1972367225694567,0
-0.17573193728937875,1.722504938752763,-1.1830697759614575,-1.1972367225694567,0
-0.9075471281930962,1.722504938752763,-1.2970644548496615,-1.1972367225694567,0
-0.541639532741237,0.7957058212645506,-1.1830697759614575,-1.3292019015618841,0
-0.9075471281930962,1.4908051593807106,-1.2970644548496615,-1.0652715435770292,0
-1.5173931206128604,1.2591053800086571,-1.582051152070171,-1.3292019015618841,0
-0.9075471281930962,0.5640060418924973,-1.1830697759614575,-0.9333063645846019,0
-1.2734547236449545,0.7957058212645506,-1.0690750970732537,-1.3292019015618841,0
-1.0295163266770486,-0.13109329622366164,-1.2400671154055594,-1.3292019015618841,0
-1.0295163266770486,0.7957058212645506,-1.2400671154055594,-1.0652715435770292,0
-0.7855779297091428,1.027405600636604,-1.2970644548496615,-1.3292019015618841,0
-0.7855779297091428,0.7957058212645506,-1.3540617942937634,-1.3292019015618841,0
-1.3954239221289069,0.332306262520445,-1.2400671154055594,-1.3292019015618841,0
-1.2734547236449545,0.10060648314839167,-1.2400671154055594,-1.3292019015618841,0
